"title"
"""Ballroom dance that breaks gender roles | Trevor Copp and Jeff Fox"""
"""5 ways to lead in an era of constant change | Jim Hemerling"""
"""Art can heal PTSD's invisible wounds | Melissa Walker"""
"""The beauty of what we'll never know | Pico Iyer"""
"""How we talk about sexual assault online | Ione Wells"""
"""4 reasons to learn a new language | John McWhorter"""
"""What reality are you creating for yourself? | Isaac Lidsky"""
"""We can start winning the war against cancer | Adam de la Zerda"""
"""Immigrant voices make democracy stronger | Sayu Bhojwani"""
"""What you need to know about CRISPR | Ellen Jorgensen"""
"""Technology hasn't changed love. Here's why | Helen Fisher"""
"""Can we build AI without losing control over it? | Sam Harris"""
"""How we're harnessing nature's hidden superpowers | Oded Shoseyov"""
"""America's forgotten working class | J.D. Vance"""
"""We can fight terror without sacrificing our rights | Rebecca MacKinnon"""
"""The era of personal DNA testing is here | Sebastian Kraves"""
"""Why open a school? To close a prison | Nadia Lopez"""
"""Why you should know how much your coworkers get paid | David Burkus"""
"""There's no such thing as not voting | Eric Liu"""
"""Why some people are more altruistic than others | Abigail Marsh"""
"""Architecture that's built to heal | Michael Murphy"""
"""How fear of nuclear power is hurting the environment | Michael Shellenberger"""
"""How to raise successful kids -- without over-parenting | Julie Lythcott-Haims"""
"""The future of money | Neha Narula"""
"""A new way to heal hearts without surgery | Franz Freudenthal"""
"""Why helmets don't prevent concussions -- and what might | David Camarillo"""
"""The new American Dream | Courtney Martin"""
"""The agony of trying to unsubscribe | James Veitch"""
"""Let's teach for mastery -- not test scores | Sal Khan"""
"""The risky politics of progress | Jonathan Tepperman"""
"""Why you should talk to strangers | Kio Stark"""
"""Bring on the female superheroes! | Christopher Bell"""
"""How women wage conflict without violence | Julia Bacha"""
"""The spellbinding art of human anatomy | Vanessa Ruiz"""
"""How the blockchain is changing money and business | Don Tapscott"""
"""The deadly legacy of cluster bombs | Laura Boushnak"""
"""What we can do to die well | Timothy Ihrig"""
"""The next manufacturing revolution is here | Olivier Scalabre"""
"""A letter to all who have lost in this era | Anand Giridharadas"""
"""How Argentina's blind soccer team became champions | Gonzalo Vilariño"""
"""Hunting for Peru's lost civilizations -- with satellites | Sarah Parcak"""
"""3 moons and a planet that could have alien life | James Green"""
"""A small country with big ideas to get rid of fossil fuels | Monica Araya"""
"""What a planet needs to sustain life | Dave Brain"""
"""How Africa can keep rising | Ngozi Okonjo-Iweala"""
"""The taboo secret to better health | Molly Winter"""
"""How to build a business that lasts 100 years | Martin Reeves"""
"""The jobs we'll lose to machines -- and the ones we won't | Anthony Goldbloom"""
"""How trees talk to each other | Suzanne Simard"""
"""A new way to study the brain's invisible secrets | Ed Boyden"""
"""How the Panama Papers journalists broke the biggest leak in history | Gerard Ryle"""
"""A project of peace, painted across 50 buildings | eL Seed"""
"""A forgotten Space Age technology could change how we grow food | Lisa Dyson"""
"""My love letter to cosplay | Adam Savage"""
"""How to grow a forest in your backyard | Shubhendu Sharma"""
"""Nature is everywhere -- we just need to learn to see it | Emma Marris"""
"""What will be the next big scientific breakthrough? | Eric Haseltine"""
"""3 lessons on success from an Arab businesswoman | Leila Hoteit"""
"""When we design for disability, we all benefit | Elise Roy"""
"""Why I keep speaking up, even when people mock my accent | Safwat Saleem"""
"""Why Brexit happened -- and what to do next | Alexander Betts"""
"""How Syria's architecture laid the foundation for brutal war | Marwa Al-Sabouni"""
"""""Redemption Song"" | John Legend"""
"""Clues to prehistoric times, found in blind cavefish | Prosanta Chakrabarty"""
"""Why you think you're right -- even if you're wrong | Julia Galef"""
"""How computers are learning to be creative | Blaise Agüera y Arcas"""
"""What can we learn from shortcuts? | Tom Hulme"""
"""How to fix a broken education system ... without any more money | Seema Bansal"""
"""Who are you, really? The puzzle of personality | Brian Little"""
"""I survived a terrorist attack. Here's what I learned | Gill Hicks"""
"""Why genetic research must be more diverse | Keolu Fox"""
"""How better tech could protect us from distraction | Tristan Harris"""
"""How a blind astronomer found a way to hear the stars | Wanda Diaz Merced"""
"""The birth of virtual reality as an art form | Chris Milk"""
"""This scientist makes ears out of apples | Andrew Pelling"""
"""The secret to effective nonviolent resistance | Jamila Raqib"""
"""3 reasons why we can win the fight against poverty | Andrew Youn"""
"""A highly scientific taxonomy of haters | Negin Farsad"""
"""How college loans exploit students for profit | Sajay Samuel"""
"""The Chinese zodiac, explained | ShaoLan"""
"""Every piece of art you've ever wanted to see -- up close and searchable | Amit Sood"""
"""What's so sexy about math? | Cédric Villani"""
"""The passing of time, caught in a single photo | Stephen Wilkes"""
"""Ideas worth dating"""
"""An entertainment icon on living a life of meaning | Norman Lear"""
"""The real harm of the global arms trade | Samantha Nutt"""
"""A smarter, more precise way to think about public health | Sue Desmond-Hellmann"""
"""My journey from Marine to actor | Adam Driver"""
"""How barbershops can keep men healthy | Joseph Ravenell"""
"""Drawings that show the beauty and fragility of Earth | Zaria Forman"""
"""Your words may predict your future mental health | Mariano Sigman"""
"""The beauty of being a misfit | Lidia Yuknavitch"""
"""How free is our freedom of the press? | Trevor Timm"""
"""The laws that sex workers really want | Toni Mac"""
"""Our lonely society makes it hard to come home from war | Sebastian Junger"""
"""Good news in the fight against pancreatic cancer | Laura Indolfi"""
"""Can you really tell if a kid is lying? | Kang Lee"""
"""This tiny particle could roam your body to find tumors | Sangeeta Bhatia"""
"""An artist's unflinching look at racial violence | Sanford Biggers"""
"""This is your brain on communication | Uri Hasson"""
"""Gene editing can now change an entire species -- forever | Jennifer Kahn"""
"""This virtual lab will revolutionize science class | Michael Bodekaer"""
"""A sci-fi vision of love from a 318-year-old hologram | Monica Byrne"""
"""The dream we haven't dared to dream | Dan Pallotta"""
"""Pirates, nurses and other rebel designers | Alice Rawsthorn"""
"""How my son's short life made a lasting difference | Sarah Gray"""
"""How to read the genome and build a human being | Riccardo Sabatini"""
"""A provocative way to finance the fight against climate change | Michael Metcalfe"""
"""Why I put myself in danger to tell the stories of Gaza | Ameera Harouda"""
"""Insightful human portraits made from data | R. Luke DuBois"""
"""A smart new business loan for people with no credit | Shivani Siroya"""
"""Hunting for dinosaurs showed me our place in the universe | Kenneth Lacovara"""
"""A taboo-free way to talk about periods | Aditi Gupta"""
"""We can reprogram life. How to do it wisely | Juan Enriquez"""
"""Wisdom from great writers on every year of life | Joshua Prager"""
"""The inside story of the Paris climate agreement | Christiana Figueres"""
